,FSC-A,SSC-A,HLA-DR,CD3,CD45,CD14,CD56,CD19,CD11c,Population
0,-0.8744335856518339,-0.08426840635572812,-0.6423684580076204,-1.3121823510411201,-2.25964401887061,-0.05729207336632372,3.0728728556063607,-1.1509789836489162,-0.12480374068172852,Other cells
1,-0.7673107764624916,-0.4320813614699509,1.425311068049672,-1.1654534190253496,-0.48115744680012457,-0.6839118302973352,-0.539220542643414,2.1095684696892674,0.003909059860844923,Monocytes
2,0.5575580537323032,-0.12132961043935103,-1.0963976045441504,0.3456935487141312,0.906253110544223,-0.42168566054359674,0.3155387773621501,-0.6741735332250579,-0.7116189713680764,T_cells
3,-1.5009983297356897,-0.385451887739908,-0.7158605157896657,0.025819543017505546,0.184461097687587,0.279366701371884,-0.1276527141094517,-0.230093820163285,1.901470286788763,T_cells
4,-0.6789750000220878,-0.7625016367479688,1.5802524939611913,-1.1353386573719064,-1.2340861113737662,-0.6418424715154691,-0.28036286045940956,1.9029843263072923,-0.06654865395445286,Monocytes
5,-0.9146048927064039,-0.12086600456467866,1.455627181890515,-0.6823641340684112,-0.4667616391517188,0.1776620070116657,-1.0938511191650697,1.6109429136864877,-0.38521309198347414,Monocytes
6,-0.5519034859312318,-0.5885188918659968,1.9327657536091472,-0.890100835695706,-0.38586041018540995,-0.7230217281682356,-0.23988349689698568,1.9923393208887403,0.04035924897369601,Monocytes
7,-0.026218432731713502,-0.337879511512404,1.3319404986864711,-1.2074976213028337,-1.1573249914737644,-0.49578527049375226,0.07483973222395049,1.8592850914512675,-1.872927962452262,Monocytes
8,-0.4370474994208192,-0.5849202230726039,1.0921808053366258,-2.2500500395672423,-1.0675542749103328,-0.5665641814914817,-0.34163738385820075,1.7099656516285562,-1.573962406515352,Monocytes
9,-0.4552409432055678,-0.4797064689001409,1.1597678412573966,-1.416626998643754,0.1711909010211857,-0.9352177593365496,-0.6728477806456322,1.947205003459378,0.5293002992081952,Monocytes
10,-0.934032758072444,0.13897286998370356,-0.9817666649822521,0.5512931951350419,0.7739099652476953,-0.6347921773838068,1.590490005818386,-0.505105870593445,-0.6649330162632405,Other cells
11,-0.9315615962029696,0.352494285186717,2.0031987314430615,-1.4935174720945086,0.30627853690320644,-0.08193753586904412,-0.28292729738871725,1.6347135160020447,0.45844082835966404,Monocytes
12,0.055523520986365926,-0.557195528568961,-0.9012810767829726,0.8095600931691892,0.999561891148194,-0.676013326258507,0.2286766411798979,-0.32859211678289396,0.13673406729772083,T_cells
13,-0.9610094635616906,-0.5824965598102838,-0.7391762299677826,1.0355510305560514,0.5086653677887626,0.2143742877557418,-0.42037983492144587,-0.30903496124310337,-0.9359295939953094,T_cells
14,-0.27753698608137894,0.06163137194061148,0.5649464416502414,-1.3315756488015869,-1.0390836122909035,0.6482694228597579,-0.4973171566173972,-0.46994801494037525,2.8799646309020694,B_cells
15,0.45097666260209496,-0.16103560586940355,-0.107362043831515,0.5605406810717973,-0.07153201378180735,-0.441706079705287,-0.14176091628450133,-0.5163835583259921,-0.3982779407937552,T_cells
16,0.046532735015091024,-0.3721006901869694,-0.6584704273000885,0.6952467385036359,0.6230340176062797,0.04666351904880115,0.20840341396071582,-0.4730273380030918,0.1437449501985586,T_cells
17,-0.1780406936961037,0.37710989653491395,-1.104198392030079,-1.1405333672930005,-0.803441410640104,-0.19188149486051068,2.782994777726864,-0.4920083864119294,0.6396077114330552,Other cells
18,0.2561177525421286,1.9717786333750678,0.9554792510035401,-0.9812954683175512,-0.09791181137093338,2.9107605358556756,0.8253296885794777,-1.0175051016194998,1.8878466018325821,B_cells
19,-1.0141765430656486,0.5314977693696424,-0.8538840087087741,-1.5103146438882458,-1.127176217125102,-0.04919259402499602,3.095512106953496,-0.440522422412106,-0.24862446676224106,Other cells
20,-0.31772771230616403,-0.508084515866333,-0.29083817765260445,0.8153980706242252,0.406099035963061,-0.042343789449328685,-0.03483237643828263,-0.2954337129541421,-0.5336423090042373,T_cells
21,-0.3503165579876027,-0.5950680214978125,-1.0074654532440623,0.6419034007143076,-0.5254186829411438,-0.8543681152709431,-0.5763649668322458,-0.555381872799281,-0.8080146316118393,T_cells
22,-0.814006634871006,-0.09276713287644725,-0.5452271942897577,0.37791893724302517,0.081881515922226,-0.39418557647827074,-0.032885752032938156,-0.28862806496824883,-0.5489108374516115,T_cells
23,0.36519986905467644,-0.031658957015706916,0.09551842231976784,0.4787812748704928,0.3377382693171411,-0.18400976400955546,2.989797540738275,-0.5114189462236453,-0.10992477618178861,Other cells
24,-0.47226286033345377,-0.6139831754811638,-0.2898470535303657,0.6194028902394437,0.8888727150927445,-0.2858623658547975,-0.7112726488180903,-0.5795965607713199,-0.7505513436253644,T_cells
25,-0.7079536190736682,-0.2664758898589343,-0.5939382416295524,0.9451047196731053,0.987099666167936,-0.20380474439213048,-0.7790802236178822,-0.39850150015277636,0.06686635413007655,T_cells
26,-0.15669757643779456,-0.1397758425568647,-0.3656088882470629,0.7063389769867873,0.8598118369899753,-0.5319129763049545,-0.113706490038587,-0.7193597804521225,-0.016242599657033924,T_cells
27,4.338904962335042,3.2780740556702423,2.058290772808501,0.6053315196231814,1.8001376071200408,0.3485974755539903,-0.3124065638843293,2.038460563691348,-0.06748394577017154,Monocytes
28,0.6934812313809527,2.4414076975211145,0.6258540425887454,-0.9712551012526246,-3.364350941136675,2.380083079850979,0.5096361049681429,-0.3996192832350228,0.6588919370975052,B_cells
